gene,score
TMEM176B,0.07305007573274835
TNFSF10,0.07288331677959492
GPX4,0.0727327177324576
ANKRD36C,0.07270988049252104
CR2,0.07266747982335403
PER1,0.07251555149606398
HIST1H2AI,0.07250414332977932
UBXN11,0.0718001763620502
PYHIN1,0.07109561172720591
RHBDL1,0.07093027192760587
TNFRSF4,0.07060630256252184
PLD4,0.07047919823064354
TNFRSF25,0.07040573186172706
TRBV14,0.07032311472198569
LPAR6,0.07023330119805424
PRR5L,0.07013049622901892
ODF3B,0.06991739957525198
TNFSF8,0.06969520124507951
NOTCH2,0.06969173282337175
CHI3L2,0.06966667674912148
NFKBIZ,0.06961237358878504
HSPA1B,0.06928537057278682
LGALS1,0.06927879841590978
TRGV3,0.06916023834711048
AC007569.1,0.06865302584855046
TUBA4A,0.06841844537441029
SLAMF1,0.0676978125193288
SLC38A2,0.06750398570014769
TUBA1C,0.06730302726876751
LILRB2,0.06730135477910204
FAM13A,0.06716300169095656
CSF3R,0.06710054550694466
DDX60L,0.06650514387565824
AGPAT1,0.06631839251095034
NLRC3,0.06626966979631586
MX1,0.06621366780694368
PLEC,0.06610945503468382
CSTA,0.0660223335142417
CD14,0.06590705148240099
NAMPT,0.06579294034522706
TMEM154,0.06564923818690793
TBXAS1,0.0656140641722529
FGL2,0.06558651288883986
PIEZO1,0.06425231577153766
LINC00892,0.06404292946694272
ZNRF1,0.06388762983290391
JAML,0.06341449874188829
FRY,0.06327951074057274
LINC02384,0.06326922372503413
LAIR2,0.06319215477581404
GIMAP8,0.062249693754503024
TRBV7-2,0.06205277091938223
LGALS8,0.061950652024981845
RSU1,0.061876007769366886
IL6ST,0.06179982731111927
ABCA2,0.061708078397136275
CDKN1A,0.060984162699577175
MAPRE2,0.060869559378641386
SETDB2,0.06068857225027373
SLC11A1,0.060559734608579156
FOSB,0.06055241311359821
NCF2,0.060154322642268346
ZNF831,0.05995702299616593
MKI67,0.059939136609436804
TNFRSF18,0.05913967957281491
ANTXR2,0.058682221738312716
SEPTIN11,0.058623615734503316
SPNS1,0.05852941607240693
ANO6,0.05842489502032601
LDLRAP1,0.05840605240188631
SCO2,0.05813660308247998
RELL1,0.05784690943069184
IL17RA,0.057807544869753265
HIST1H2AJ,0.05757129222573264
PAM,0.0569886536042026
BLVRB,0.05686890020422192
SNN,0.056862595692555806
MFSD1,0.05675925414335751
TSPYL2,0.056744920895189316
FCRL2,0.05643741805806733
GNAQ,0.05630224698713899
PPBP,0.05608322256509217
TRBV7-9,0.05560304680168049
CD151,0.05519808393567816
TXK,0.05494308449089087
SLAMF7,0.05486657986865982
ISYNA1,0.05482980568910705
CCND2,0.05472658277813291
MTURN,0.05442261102272235
MTSS1,0.05428619269449675
TRBV2,0.053740562996952734
HIST1H2AG,0.05373133771584502
PLA2G12A,0.05365338975675913
HCK,0.05362032586196976
CHRM3-AS2,0.05339813402940998
PHF21A,0.053277913227777245
OGFRL1,0.05320251868934116
SNTB1,0.05310689747992084
VCL,0.052799682205956475
CLU,0.052451591841665646
APOBR,0.05226122171574878
STX11,0.051678518602045365
TNFSF13B,0.05164191209036309
RNF157,0.051574177248879284
CMIP,0.051495273652229036
SMIM25,0.05116844188923203
TRAV38-1,0.05071776930010986
TRGV4,0.050559970942230636
LRRC25,0.050309626180633796
ARRB1,0.050113840253402736
BIRC5,0.05006457956229239
HELB,0.049997636334341795
TRBV9,0.049887882442230067
PTGDS,0.04956999829968663
CCDC88B,0.04927607898611211
MMP17,0.049250460215698406
KCTD7,0.04887821184541013
TRGC2,0.04879392350733906
ISG15,0.048780539496678384
PAX8-AS1,0.048388946612831926
KLRC4,0.048019905080084975
LILRA5,0.04799891466599436
TMEM176A,0.04799217222256837
LRP1,0.04771783870995111
PILRA,0.04738848053263289
MAFB,0.04731037563422175
PRAM1,0.04704751293797295
IER5L,0.04702862057485759
ATP2B1-AS1,0.046900591994671885
ZNF385A,0.0468334646069879
GARS-DT,0.04669293777000667
ASPM,0.04642145213841309
TRBV4-2,0.04633340661296455
SFMBT2,0.04628288010187389
AC253572.2,0.04620382066734152
TBC1D4,0.046197360133495124
GDPD5,0.04589960919587509
PLCB1,0.04542564493316104
ARHGAP10,0.04531702944423682
FAM110A,0.045236212540114146
FNDC3B,0.04519403787106114
