gene,is_known,p_S1,p_S2,p_mean,p_max,p_fisher,p_bonf,p_hmp
RP4-564F22.6,False,0.8055972013993004,0.7984031936127745,0.8850209787151664,0.7984031936127745,0.9270400729281654,1.0,0.8955356301094538
SLC32A1,False,0.011494252873563218,0.0019960079840319,0.00013457748893641597,0.001996007984031878,0.00026802749030074846,0.0039920159680638,0.05832118435197998
R3HDML,False,0.0009995002498750624,0.0019960079840319,1.2169547560003657e-05,0.0009995002498750516,2.817924621545398e-05,0.001999000499750125,0.036496593430090485
HNF4A-AS1,False,0.5742128935532234,0.2435129740518962,0.3597356696853683,0.2435129740518962,0.41491809222360043,0.4870259481037924,0.5848017346041663
PABPC1L,False,0.029985007496251874,0.0019960079840319,0.0003817608514099513,0.001996007984031878,0.0006418146539571845,0.0039920159680638,0.06117896013567433
SYS1-DBNDD2,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
PIGT,False,0.37181409295352325,0.0019960079840319,0.011698951589773188,0.001996007984031878,0.006090008634626276,0.0039920159680638,0.06301349122252824
RP4-569M23.5,False,0.0004997501249375312,0.0059880239520958,2.0329205092317615e-05,0.0004997501249375258,4.1055508613996317e-05,0.0009995002498750624,0.030372836961539352
KCNB1,False,0.0004997501249375312,0.7544910179640718,0.03289326745481991,0.0004997501249375258,0.0033494402327165496,0.0009995002498750624,0.03160440874126443
RP11-112L6.3,False,0.4497751124437781,0.059880239520958,0.11714898429019827,0.059880239520958,0.1242784195211949,0.119760479041916,0.32509940756918004
BCAS4,False,0.5732133933033483,0.0019960079840319,0.028382963297636232,0.001996007984031878,0.008893506845743193,0.0039920159680638,0.06307268390517355
RP4-715N11.2,False,0.2908545727136432,0.0019960079840319,0.007651004041027365,0.001996007984031878,0.004906523892723613,0.0039920159680638,0.06296671522778045
RP11-15M15.2,False,0.22488755622188905,0.2994011976047904,0.18234892884523202,0.22488755622188905,0.24900072440779453,0.4497751124437781,0.5068030337996144
AC005808.3,False,0.2273863068465767,0.12375249500998,0.08910777536409564,0.12375249500997998,0.1286143024091574,0.24750499001996,0.4003452888319041
AURKA,False,0.5032483758120939,0.0019960079840319,0.02118560728656549,0.001996007984031878,0.007938745682797843,0.0039920159680638,0.06305747531080984
CSTF1,False,0.0004997501249375312,0.0479041916167664,0.00022868461015623787,0.0004997501249375258,0.0002786619769233889,0.0009995002498750624,0.03145124535883006
TFAP2C,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP5-897D18.1,False,0.15592203898050974,0.0079840319361277,0.007781283823781293,0.007984031936127733,0.00957157268336939,0.0159680638722554,0.12324870461774026
RP5-907D15.3,False,0.2288855572213893,0.1716566866267465,0.11601926016585395,0.1716566866267465,0.16646243897551427,0.343313373253493,0.442925202087523
STX16,False,0.02148925537231384,0.0019960079840319,0.0002634056074827251,0.001996007984031878,0.00047425664189748584,0.0039920159680638,0.06043786316632472
GNAS,False,0.9970014992503748,0.1736526946107784,0.8994689465297624,0.17365269461077837,0.4767537507976787,0.3473053892215568,0.5438627999739257
ATP5E,False,0.8660669665167416,0.1696606786427145,0.5429314990451969,0.1696606786427145,0.4287266076116627,0.339321357285429,0.5326703834259112
RP5-908M14.5,False,0.2143928035982009,0.2734530938123752,0.16219506881617884,0.2143928035982009,0.2249242278458553,0.4287856071964018,0.49025292299021306
HAR1B,False,0.07446276861569215,0.2075848303393213,0.055159025966617925,0.07446276861569212,0.07990937204959903,0.1489255372313843,0.33107103837749446
FLJ16779,False,0.0004997501249375312,0.500998003992016,0.01003372673997216,0.0004997501249375258,0.0023266125715891706,0.0009995002498750624,0.03159911759374305
SRMS,False,0.6006996501749126,0.1397205588822355,0.279487315785782,0.13972055888223545,0.2918896425509965,0.279441117764471,0.47614004918620445
RTEL1-TNFRSF6B,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP4-583P15.16,False,0.0029985007496251873,0.2734530938123752,0.008916831877841758,0.0029985007496251548,0.006646728860503326,0.005997001499250375,0.07701919049936497
MYT1,False,0.03248375812093953,0.5409181636726547,0.10891864145545549,0.03248375812093951,0.08858451393594102,0.06496751624187906,0.24756220500832993
AC092192.1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
AC006273.4,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
AZU1,True,0.0009995002498750624,0.0439121756487025,0.000346603616484753,0.0009995002498750516,0.0004842768508729334,0.001999000499750125,0.04420987614258831
PRTN3,True,0.1634182908545727,0.6586826347305389,0.343030208555964,0.1634182908545727,0.3475673340062906,0.3268365817091454,0.5117299884270525
ELANE,True,0.22338830584707647,0.0019960079840319,0.005032617929595085,0.001996007984031878,0.0038860869754260285,0.0039920159680638,0.06290200787680213
KLF16,False,0.0009995002498750624,0.0818363273453093,0.0007619184128513368,0.0009995002498750516,0.0008515958721728722,0.001999000499750125,0.04443962740173323
MKNK2,False,0.5322338830584707,0.2554890219560878,0.3417848197655746,0.2554890219560877,0.4072935788795181,0.5109780439121756,0.587578156572022
MOB3A,False,0.0079960019990005,0.0059880239520958,0.0002503867645026192,0.0059880239520957446,0.0005241358925213158,0.0119760479041916,0.08275173319825002
OAZ1,False,0.008995502248875561,0.0019960079840319,0.0001042499402650332,0.001996007984031878,0.00021416184143452366,0.0039920159680638,0.057158412569071865
TIMM13,False,0.03298350824587706,0.0439121756487025,0.006085576361287259,0.032983508245877036,0.010916872821964407,0.06596701649175413,0.19409078514116093
AC006130.3,False,0.0029985007496251873,0.405189620758483,0.017311013012366594,0.0029985007496251548,0.009371049364191864,0.005997001499250375,0.07715535139534267
AC005264.2,False,0.07596201899050475,0.0159680638722554,0.005702928258515372,0.015968063872255356,0.009357655134250464,0.0319361277445108,0.16244657241348237
S1PR4,False,0.0074962518740629685,0.0538922155688622,0.0021365021165681286,0.007496251874062998,0.003560813559555176,0.014992503748125937,0.1147246407698277
CACTIN-AS1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
AC004637.1,False,0.02448775612193903,0.0958083832335329,0.010292705388627699,0.024487756121938986,0.016551933336606095,0.04897551224387806,0.19749922891375524
ALKBH7,False,0.01899050474762619,0.6407185628742516,0.11266788837159858,0.018990504747626202,0.06581415091057585,0.03798100949525238,0.19206166008463707
PSPN,False,0.5507246376811594,0.0179640718562874,0.08178339711571536,0.017964071856287456,0.05555956027272624,0.0359281437125748,0.1865294198708037
CTD-3193O13.13,False,0.25487256371814093,0.0499001996007984,0.05155907623111322,0.04990019960079839,0.06822956190048268,0.0998003992015968,0.2888947213902159
CTD-2586B10.1,False,0.18040979510244878,0.0079840319361277,0.009385862434816872,0.007984031936127733,0.010864682780182378,0.0159680638722554,0.1236581807653162
ACTL9,False,0.20939530234882558,0.590818363273453,0.34115120219944706,0.20939530234882553,0.38225062547553734,0.41879060469765117,0.5560610503575907
ZNF177,False,0.7061469265367316,0.12375249500998,0.3320161159209699,0.12375249500997998,0.30038592054617597,0.24750499001996,0.4589092221877444
