gene,alpha_UMI,se,t_stat,p_value,fdr,p_value_perm,fdr_perm
TDGF1,-0.004073413410912935,0.0036122434264160216,-1.1276685787904797,0.25957977534644266,0.9610942545789382,0.43656343656343655,0.956911334409484
SMCO3,-0.003400565433895529,0.0030163114034756915,-1.1273920292102249,0.2596966057226723,0.9610942545789382,0.14785214785214784,0.937847866419295
AC009410.1,0.004701653176128074,0.004173803575830756,1.1264672835475082,0.2600875358042561,0.9610942545789382,1.0,1.0
CTD-2192J16.22,-0.004367655213451282,0.003880078492498522,-1.125661561201476,0.26042848168201327,0.9610942545789382,0.1938061938061938,0.9553959553959553
RP11-67L2.2,0.0026101664982985575,0.0023237392988406254,1.123261331251623,0.26144598582263573,0.9610942545789382,0.6363636363636364,0.956911334409484
SYT3,0.0033008369931239578,0.002939048143509703,1.1230972859060067,0.2615156280926666,0.9610942545789382,0.5024975024975025,0.956911334409484
RPTOR,0.004135047320308081,0.003684331024199673,1.1223332792702012,0.26184014132764166,0.9610942545789382,0.7412587412587412,0.9669839837581773
PDE7B,-0.0034638852785681866,0.0030887258980219806,-1.1214608848215817,0.26221103287145636,0.9610942545789382,0.5464535464535465,0.956911334409484
RP11-635N19.1,-0.0034603322258221574,0.003092151876502643,-1.119069296730283,0.26322965929078507,0.9610942545789382,0.8911088911088911,0.9852218626060588
MFAP3,-0.005314333219497897,0.004753178529061759,-1.1180588288455868,0.26366085846305776,0.9610942545789382,0.5904095904095904,0.956911334409484
FAM83A-AS1,-0.004418312287886152,0.003952586895529287,-1.1178279958582371,0.26375943071024743,0.9610942545789382,0.14685314685314685,0.937847866419295
DYTN,-0.003118676529028727,0.0027955324482515282,-1.1155930352295478,0.26471513796017876,0.9610942545789382,0.4305694305694306,0.956911334409484
XXbac-B444P24.14,-0.005035016825493931,0.004521249258584713,-1.1136339842207523,0.26555482352187254,0.9610942545789382,0.936063936063936,0.994663107692935
ZNF664,-0.002411019587006608,0.0021728694673512875,-1.1096016687760422,0.26728892102690094,0.9610942545789382,0.5064935064935064,0.956911334409484
FITM1,-0.005427891129193174,0.00490412064535964,-1.1068021204429437,0.268497439662203,0.9610942545789382,0.04395604395604396,0.8747944968417409
RP11-386I8.6,-0.004451001200468154,0.004024155676465309,-1.106070827850444,0.26881374420991844,0.9610942545789382,0.5904095904095904,0.956911334409484
SLC38A8,-0.0038322348859605626,0.0034660549690631462,-1.1056474638067517,0.26899697799310057,0.9610942545789382,0.8971028971028971,0.9863741478749636
RP11-404P21.6,-0.003934884926880752,0.0035623613655805845,-1.1045720866216362,0.26946279156928293,0.9610942545789382,0.7262737262737263,0.9661351806088648
PLPP1,-0.003956329791329764,0.00358426809136793,-1.103804093465211,0.2697957966043618,0.9610942545789382,0.2867132867132867,0.956911334409484
SLCO1C1,0.004112754680104136,0.003733888805657678,1.1014668336859121,0.2708109797770747,0.9610942545789382,0.6213786213786214,0.956911334409484
ASL,0.003548419592938494,0.003224746540376331,1.1003716256482252,0.271287581012128,0.9610942545789382,0.6313686313686314,0.956911334409484
EDN2,0.003973411733756506,0.0036109929039928033,1.100365422862466,0.271290281912297,0.9610942545789382,0.43156843156843155,0.956911334409484
RP11-21B23.2,0.004332807663611417,0.003942180166408773,1.099089204630999,0.2718463820569102,0.9610942545789382,0.011988011988011988,0.7695161980876267
SEC62-AS1,0.002121207439592047,0.001930670406647069,1.0986895703626487,0.27202067940857566,0.9610942545789382,0.7642357642357642,0.9704440990954354
KCNAB1-AS2,0.003738053521639868,0.0034101925982885184,1.09614146823109,0.27313381425082056,0.9610942545789382,0.5084915084915085,0.956911334409484
TMEM89,0.005190097184546939,0.004752813743026858,1.092005171075882,0.2749473789118952,0.9610942545789382,0.6523476523476524,0.95890670023618
CDK11B,-0.0029292482550786715,0.002691011780805654,-1.0885304464184113,0.27647722090994153,0.9610942545789382,0.7732267732267732,0.970493193956881
RP11-159D12.5,-0.0033636313827960897,0.003096940189803419,-1.0861144150828799,0.2775443607994293,0.9610942545789382,0.5854145854145855,0.956911334409484
RP5-875O13.1,0.0024597468827405934,0.002269199454711217,1.0839712118001288,0.27849334157630196,0.9610942545789382,0.2597402597402597,0.956911334409484
BEND3,0.0046783511790004775,0.004331785055863803,1.0800053831541017,0.28025517670852645,0.9610942545789382,0.25774225774225773,0.956911334409484
ASS1,-0.002921803135085519,0.002709689139202921,-1.0782798265722522,0.2810241226744527,0.9610942545789382,0.0919080919080919,0.915458925311142
ELOVL2,-0.005518114985891478,0.005124970902822984,-1.0767114761277692,0.2817242563286027,0.9610942545789382,0.5304695304695305,0.956911334409484
FGD5-AS1,0.0033068438498235547,0.003071939161944389,1.0764678841261315,0.28183310536806555,0.9610942545789382,0.9460539460539461,0.9947745760732774
WDR41,0.00430013513449978,0.003995366103401858,1.0762806269085956,0.28191680062536056,0.9610942545789382,0.997002997002997,0.9999702678274107
CTB-60E11.9,-0.0040153980828985,0.003732910044109995,-1.0756750190734317,0.2821875946268073,0.9610942545789382,0.9010989010989011,0.9876667806586944
RP11-19D2.1,0.004000009031896147,0.0037218232254161514,1.074744497422447,0.282604015792277,0.9610942545789382,0.5364635364635365,0.956911334409484
MKI67,0.0041136535570447585,0.0038315399119553473,1.073629311339828,0.28310362567915703,0.9610942545789382,0.6303696303696303,0.956911334409484
