method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
Partial_Pearson,800,0.3,10,gene_0133,0.7421602787456446,0.5052108823668415,0.017421602787456445,0.14134975403266292,0.16301298141479492
PGAA_linear,800,0.3,10,gene_0295,0.8574332171893148,0.5088608680246876,0.020905923344947737,0.10692327284162578,0.6809916496276855
Partial_Pearson,800,0.3,10,gene_0295,0.8539488966318235,0.49958321220025226,0.027874564459930314,0.22474455637039875,0.19211173057556152
PGAA_linear,800,0.3,10,gene_0083,0.9340882694541232,0.7016185611773847,0.020905923344947737,0.0918793383464897,0.6773052215576172
Partial_Pearson,800,0.3,10,gene_0083,0.9166666666666666,0.6628423923631406,0.010452961672473868,0.0807676492880321,0.16458916664123535
PGAA_linear,800,0.3,10,gene_0013,0.8156213704994192,0.5801202858566517,0.027874564459930314,0.1340783333473795,0.681373119354248
Partial_Pearson,800,0.3,10,gene_0013,0.8193960511033681,0.6134757061501875,0.04878048780487805,0.176965284851475,0.24704217910766602
PGAA_linear,800,0.5,3,gene_0239,0.8658536585365854,0.5245179199280692,0.0,0.08662537246774338,0.6191849708557129
Partial_Pearson,800,0.5,3,gene_0239,0.8641114982578397,0.5270640183140183,0.0,0.07787457554334598,0.17608284950256348
PGAA_linear,800,0.5,3,gene_0151,0.7401277584204414,0.3672594890102083,0.027874564459930314,0.08170439580386801,0.5306921005249023
Partial_Pearson,800,0.5,3,gene_0151,0.7020905923344947,0.29071809642263535,0.020905923344947737,0.07053000065376855,0.14082598686218262
PGAA_linear,800,0.5,3,gene_0100,0.7468060394889664,0.4406932552743845,0.0,0.07460527615864032,0.5218231678009033
Partial_Pearson,800,0.5,3,gene_0100,0.7706155632984901,0.3306981455263192,0.017421602787456445,0.06585421080514053,0.13305401802062988
PGAA_linear,800,0.5,3,gene_0287,0.9265389082462254,0.7640985052976887,0.017421602787456445,0.09370659033678347,0.5410959720611572
Partial_Pearson,800,0.5,3,gene_0287,0.9024390243902439,0.739119521001874,0.024390243902439025,0.11125132720012906,0.12321686744689941
PGAA_linear,800,0.5,5,gene_0048,0.9593495934959351,0.8146072981599298,0.017421602787456445,0.11156973780657126,0.610767126083374
Partial_Pearson,800,0.5,5,gene_0048,0.9523809523809523,0.8461301044634378,0.0313588850174216,0.13688831488469355,0.13768506050109863
PGAA_linear,800,0.5,5,gene_0272,0.9915795586527294,0.8038618573835293,0.010452961672473868,0.07703309695702731,0.6808261871337891
Partial_Pearson,800,0.5,5,gene_0272,0.9941927990708479,0.8719580800463155,0.010452961672473868,0.06552595888603585,0.11978411674499512
