gene,S2_obs,null_mean,null_std,z_score,p_perm,p_zscore,p_pooled
RP11-57H12.3,0.7109872274220588,0.6376683212546614,0.025079873066686038,2.923416158145752,0.003992015968063872,0.003462134495203717,0.12945328031809145
RP11-147C23.1,0.7835046988253969,0.6592347527395337,0.035937505969252395,3.457945751499374,0.001996007984031936,0.0005443109748743957,0.03023658051689861
RP11-413P11.1,0.7675876517192586,0.6655042561458951,0.02428145411140317,4.204171426678205,0.001996007984031936,2.6204028778842314e-05,0.04476540755467197
RP5-936J12.1,0.6490777228551384,0.6681830160735049,0.02799539406181401,-0.6824441612138491,0.780439121756487,0.4949581396080289,0.550817097415507
RP11-153F1.2,0.714541878526492,0.6170338785147411,0.025632624586844812,3.804058366375411,0.001996007984031936,0.00014234461770223916,0.11735487077534791
PRMT6,0.6915668865375307,0.6791074933826551,0.012413072758601876,1.0037315817907113,0.10978043912175649,0.3155080101264902,0.23224652087475148
RP11-475E11.9,0.7056925985429239,0.6935210231360419,0.01438154347342923,0.8463330399389215,0.1536926147704591,0.39736698117734615,0.14831411530815108
RSBN1,0.8453933451363977,0.6602299730738678,0.030644100689951815,6.042382314819861,0.001996007984031936,1.5185510626736232e-09,0.004696819085487077
HIPK1-AS1,0.6880026460270552,0.682779310679889,0.012304352468583137,0.42451119313288704,0.3313373253493014,0.6711930439992682,0.26429423459244533
TSPAN2,0.5447510241859859,0.539106312921448,0.011195546719481513,0.5041925513753588,0.27944111776447106,0.6141260741977939,0.9138946322067595
HAO2,0.7376493806319963,0.6209159349731049,0.029435843363930195,3.9656905431807346,0.001996007984031936,7.318376153420125e-05,0.07689363817097415
NBPF26,0.6880026460270554,0.6620132340595123,0.01712513536136093,1.5176179001878694,0.0718562874251497,0.12911075166330077,0.26400497017892643
CH17-118O6.3,0.700369109403244,0.6903118948074622,0.011482776332133465,0.8758521724085797,0.2375249500998004,0.3811104030617092,0.1809582504970179
RP11-763B22.6,0.6826809583476895,0.6847380121294175,0.012543570699476383,-0.16399268047444832,0.6666666666666666,0.869736905938459,0.31561630218687875
RP5-998N21.7,0.6190419989105457,0.6040701755887604,0.0202796702569594,0.7382675917349604,0.2275449101796407,0.4603518560989388,0.6803320079522863
GPR89B,0.5394367596251531,0.528618999008697,0.011727658148648002,0.9224143882214284,0.2215568862275449,0.3563124675390863,0.9284721669980119
FCGR1A,0.7128194282991145,0.6955341172010862,0.010935569532986677,1.5806502849153266,0.05189620758483034,0.11395802147582312,0.12110238568588469
HIST2H2AA3,0.7446005872874759,0.6285930737987836,0.028444581802978763,4.078369451595866,0.001996007984031936,4.5352656892427845e-05,0.0693469184890656
ANP32E,0.7746558364590485,0.6464664994831585,0.02580862680924119,4.966918151956259,0.001996007984031936,6.802528127458629e-07,0.038130218687872766
MRPS21,0.8701518086788884,0.6860598109594808,0.033513142568393106,5.493128474708394,0.001996007984031936,3.9487531022786015e-08,0.002011928429423459
