dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	welch_abs_t	0.29	0.02	0.2699999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARID1A	absolute_mean_shift	0.48	0.03	0.4599999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARID1A	pgaa_h	0.05	0.04	0.0	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARID1A	pgaa_w	0.46	0.05	0.42	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARID1A	welch_abs_t	0.37	0.02	0.36	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARRDC3	absolute_mean_shift	0.1	0.06	0.0499999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARRDC3	pgaa_h	0.05	0.03	0.02	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARRDC3	pgaa_w	0.13	0.06	0.07	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ARRDC3	welch_abs_t	0.05	0.02	0.01	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ATL1	absolute_mean_shift	0.45	0.05	0.3999999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ATL1	pgaa_h	0.05	0.04	0.0	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ATL1	pgaa_w	0.44	0.07	0.3899999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	ATL1	welch_abs_t	0.35	0.02	0.3299999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BAK1	absolute_mean_shift	0.06	0.04	0.01	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BAK1	pgaa_h	0.05	0.04	0.03	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BAK1	pgaa_w	0.07	0.07	0.0099999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BAK1	welch_abs_t	0.02	0.02	0.0099999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCL2L11	absolute_mean_shift	0.04	0.05	0.0	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCL2L11	pgaa_h	0.05	0.05	-0.03	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCL2L11	pgaa_w	0.06	0.07	-0.01	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCL2L11	welch_abs_t	0.02	0.01	0.0	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCORL1	absolute_mean_shift	0.08	0.05	0.05	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCORL1	pgaa_h	0.07	0.06	0.0099999999999999	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCORL1	pgaa_w	0.11	0.06	0.06	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BCORL1	welch_abs_t	0.08	0.02	0.06	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BPGM	absolute_mean_shift	0.26	0.03	0.24	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BPGM	pgaa_h	0.04	0.05	-0.01	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BPGM	pgaa_w	0.3	0.04	0.24	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	BPGM	welch_abs_t	0.24	0.02	0.22	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	C19orf26	absolute_mean_shift	0.19	0.05	0.14	5
