dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ASF1B	all	ASF1B	71	91	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	16
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Brd9	all	Brd9	5125	4560	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	1
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Cbx3	all	Cbx3	155	259	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	2
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Chd4	all	Chd4	833	241	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	3
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Gltscr1	all	Gltscr1	1398	1096	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	4
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Hdac1	all	Hdac1	567	391	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	5
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Hdac3	all	Hdac3	380	179	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	6
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Kmt2d	all	Kmt2d	1229	1548	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	7
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Mbd2	all	Mbd2	182	160	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	8
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Mbd3	all	Mbd3	529	870	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	9
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Men1	all	Men1	497	237	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	10
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Phf10	all	Phf10	4231	3986	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	11
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Rbbp4	all	Rbbp4	264	90	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	12
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Rcor1	all	Rcor1	413	1663	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	13
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Smarcd1	all	Smarcd1	2078	427	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	14
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Smarcd2	all	Smarcd2	949	313	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	15
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	Wdr82	all	Wdr82	278	70	31617	48154	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_12_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	16
