Cell line	Drug ID	Putative target	Screen format	Avg. AUC DTP	Avg. AUC DTP Combination	Avg. AUC DMSO	Avg. AUC monotherapy	Combination activity	Monotherapy activity	Label	Screen hit status	combination_activity_z
PC9	GSK591	PRMT5	upfront	16570.0	3800.801884	44384.0	43319.0	12769.19812	1065.0	GSK591: PRMT5	hit	0.6988461110826915
PC9	LY3298176	AURKA	upfront	18023.5	8008.019084	20377.0	20462.5	10015.48092	-85.5	LY3298176: AURKA	hit	0.1877545495387551
PC9	Olaparib	PARP	upfront	22798.0	17570.17171	26334.0	25091.0	5227.82829	1243.0	Olaparib: PARP	none	-0.700836645953881
PC9	Quisinostat	HDAC	upfront	21313.0	4722.17321	27958.0	20800.0	16590.82679	7158.0	Quisinostat: HDAC	hit	1.4081426810396127
PC9	RMC-4550	SHP2	upfront	19044.5	11968.41672	21122.5	21308.0	7076.08328	-185.5	RMC-4550: SHP2	none	-0.35779941287472794
PC9	RSL3	GPX4	upfront	16134.0	13553.84427	30326.0	27837.0	2580.15573	2489.0	RSL3: GPX4	none	-1.1922462588028082
PC9	Selumetinib	MEK1/2	upfront	24473.0	11179.0	49189.0	49721.0	13294.0	-532.0	Selumetinib: MEK1/2	hit	0.7962496543188647
H1975	Abemaciclib	CDK4/6	sequential	12533.0	8985.0	14522.0	13752.0	3548.0	770.0	Abemaciclib: CDK4/6	none	-0.9495621667035672
H1975	AZ'5845	AXL	sequential	9919.0	4183.0	26010.0	24380.0	5736.0	1630.0	AZ'5845: AXL	none	-0.39725964503610706
H1975	AZ'6197	ERK1/2	sequential	12533.0	6427.0	14522.0	17038.0	6106.0	-2516.0	AZ'6197: ERK1/2	none	-0.30386296632634463
H1975	AZ6102	Tankyrase	sequential	15943.0	12578.0	20657.0	19637.0	3365.0	1020.0	AZ6102: Tankyrase	none	-0.9957556591465038
H1975	AZD0156	ATM	sequential	19301.0	3327.0	26223.0	22297.0	15974.0	3926.0	AZD0156: ATM	hit	2.1870516972086174
H1975	AZD2811	AURKB	sequential	9919.0	4151.0	26010.0	24196.0	5768.0	1814.0	AZD2811: AURKB	none	-0.38918209444499247
H1975	AZD4205	JAK1	sequential	22968.0	19845.0	15857.0	17642.0	3123.0	-1785.0	AZD4205: JAK1	none	-1.0568421354918078
H1975	AZD4547	FGFR	sequential	12533.0	3687.0	14522.0	17389.0	8846.0	-2867.0	AZD4547: FGFR	hit	0.3877773030378422
H1975	AZD5153	BRD4	sequential	12533.0	3520.0	14522.0	6025.0	9013.0	8497.0	AZD5153: BRD4	hit & mono. activity	0.4299320201852215
H1975	AZD8186	PIK3CB	sequential	15943.0	8221.0	20657.0	18561.0	7722.0	2096.0	AZD8186: PIK3CB	hit	0.1040533385249422
H1975	AZD8835	PIK3CA	sequential	15943.0	6783.0	20657.0	18243.0	9160.0	2414.0	AZD8835: PIK3CA	hit	0.4670382682131541
H1975	BMS-754807	IGF-IR	sequential	22617.0	13483.0	16540.0	17562.0	9134.0	-1022.0	BMS-754807: IGF-IR	hit	0.4604752583578735
H1975	Capivasertib	AKT	sequential	9919.0	1843.0	26010.0	22452.0	8076.0	3558.0	Capivasertib: AKT	hit	0.19341124193914735
H1975	Crizotinib	ALK	sequential	22968.0	9766.0	15857.0	9866.0	13202.0	5991.0	Crizotinib: ALK	hit	1.4873338772533158
H1975	Dastainib	SRC	sequential	12533.0	872.0	14522.0	4985.0	11661.0	9537.0	Dastainib: SRC	hit & mono. activity	1.0983493315999537
H1975	GSK591	PRMT5	sequential	15943.0	14853.0	20657.0	20405.0	1090.0	252.0	GSK591: PRMT5	none	-1.5700190214835565
H1975	K975	TEAD	sequential	19301.0	11682.0	26223.0	24838.0	7619.0	1385.0	K975: TEAD	hit	0.07805372255979211
H1975	LY3298176	AURKA	sequential	15943.0	14311.0	20657.0	20254.0	1632.0	403.0	LY3298176: AURKA	none	-1.4332055083465534
H1975	Olaparib	PARP	sequential	22968.0	19523.0	15857.0	12235.0	3445.0	3622.0	Olaparib: PARP	none	-0.9755617826687173
H1975	Quisinostat	HDAC	sequential	15943.0	1748.0	20657.0	8960.0	14195.0	11697.0	Quisinostat: HDAC	hit & mono. activity	1.7379903690338403
H1975	RMC-4550	SHP2	sequential	22968.0	15472.0	15857.0	17160.0	7496.0	-1303.0	RMC-4550: SHP2	none	0.04700563747519541
H1975	RSL3	GPX4	sequential	9919.0	7662.0	26010.0	25155.0	2257.0	855.0	RSL3: GPX4	none	-1.2754408483638464
H1975	Selumetinib	MEK1/2	sequential	12533.0	2576.0	14522.0	17138.0	9957.0	-2616.0	Selumetinib: MEK1/2	hit	0.6682197626231019
HCC2935	Abemaciclib	CDK4/6	sequential	9121.0	4762.0	11459.0	8289.0	4359.0	3170.0	Abemaciclib: CDK4/6	none	0.9646518044607562
HCC2935	AZ'5845	AXL	sequential	7456.0	5716.0	14515.0	13261.0	1740.0	1254.0	AZ'5845: AXL	none	0.043826963796098316
HCC2935	AZ'6197	ERK1/2	sequential	9121.0	10386.0	11459.0	12779.0	-1265.0	-1320.0	AZ'6197: ERK1/2	none	-1.0127131836637324
