target_gene	method	repeat	status	n_discovery_per_group	n_validation_per_group	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_gene_spearman_rho	pseudo_all_gene_spearman_rho	analysis_role	failure_reason
ILF3	pgaa_w	3	complete	76	62	0.78	0.84	-0.05999999999999994	0.632758259166726	0.6208334288054436	post_result_matched_control_specificity_stress_test	
ILF3	pgaa_h	3	complete	76	62	0.05	0.01	0.04	0.2599170017572632	0.23725166591251343	post_result_matched_control_specificity_stress_test	
ILF3	absolute_mean_shift	3	complete	76	62	0.57	0.55	0.019999999999999907	0.33676868510413394	0.2590186022575724	post_result_matched_control_specificity_stress_test	
ILF3	welch_abs_t	3	complete	76	62	0.13	0.03	0.1	0.061272958852082476	0.002947351254635109	post_result_matched_control_specificity_stress_test	
ILF3	pgaa_w	4	complete	76	62	0.76	0.77	-0.010000000000000009	0.6317713776978144	0.6196452919304913	post_result_matched_control_specificity_stress_test	
ILF3	pgaa_h	4	complete	76	62	0.02	0.0	0.02	0.2355439204519768	0.24751963607171149	post_result_matched_control_specificity_stress_test	
ILF3	absolute_mean_shift	4	complete	76	62	0.54	0.62	-0.07999999999999996	0.3417227712335515	0.2951308491482246	post_result_matched_control_specificity_stress_test	
ILF3	welch_abs_t	4	complete	76	62	0.12	0.02	0.09999999999999999	0.060527804113618924	-0.008619322181313683	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_w	0	complete	91	73	0.87	0.84	0.030000000000000027	0.6303134289179881	0.6287001582288535	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_h	0	complete	91	73	0.03	0.0	0.03	0.2594888414509448	0.24041313437465883	post_result_matched_control_specificity_stress_test	
RPUSD3	absolute_mean_shift	0	complete	91	73	0.68	0.71	-0.029999999999999916	0.2769300104644063	0.29066255518613654	post_result_matched_control_specificity_stress_test	
RPUSD3	welch_abs_t	0	complete	91	73	0.06	0.0	0.06	0.003990651551541865	-0.019769783933799637	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_w	1	complete	91	73	0.77	0.82	-0.04999999999999993	0.6385424210524033	0.630870842993603	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_h	1	complete	91	73	0.01	0.0	0.01	0.23998812756728388	0.2404606834363299	post_result_matched_control_specificity_stress_test	
RPUSD3	absolute_mean_shift	1	complete	91	73	0.54	0.64	-0.09999999999999998	0.3193515881502059	0.31402556559835815	post_result_matched_control_specificity_stress_test	
RPUSD3	welch_abs_t	1	complete	91	73	0.04	0.01	0.03	-0.00020204987938639938	0.003879125577617721	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_w	2	complete	91	73	0.82	0.8	0.019999999999999907	0.635641196434286	0.6243687024730851	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_h	2	complete	91	73	0.02	0.03	-0.009999999999999998	0.252474982885052	0.2389154784149112	post_result_matched_control_specificity_stress_test	
RPUSD3	absolute_mean_shift	2	complete	91	73	0.66	0.56	0.09999999999999998	0.2808038735053924	0.2854590797187421	post_result_matched_control_specificity_stress_test	
RPUSD3	welch_abs_t	2	complete	91	73	0.02	0.01	0.01	-0.006887594194142043	-0.02222622084552221	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_w	3	complete	91	73	0.82	0.8	0.019999999999999907	0.6387750678862087	0.6272856707702833	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_h	3	complete	91	73	0.02	0.03	-0.009999999999999998	0.27164404021242705	0.23000191252740415	post_result_matched_control_specificity_stress_test	
RPUSD3	absolute_mean_shift	3	complete	91	73	0.74	0.43	0.31	0.3070454886939969	0.2719015868290234	post_result_matched_control_specificity_stress_test	
