gene,score
H1F0,7.882637468036451
TMEM154,7.866093216180329
PDZD2,7.845821090123214
SNN,7.826464872547488
CLEC4A,7.816244135068016
TRAV3,7.800446535980653
TRBV28,7.796030905118271
NFIA,7.779215996557693
PMCH,7.779120634475319
RDH10,7.770373503575029
LINC01684,7.761565532469441
DST,7.743425446442628
TRAV34,7.742945955307236
TNFSF14,7.733154168066961
AC020916.1,7.732799734895484
SOD2,7.688494609596762
TMCC2,7.68435568579865
LINC00937,7.6770475772288975
PF4,7.6642273163283345
LDLR,7.662345126078577
PYGL,7.655879129403043
RTN1,7.655549312866987
LINC01943,7.608655801411185
XCL1,7.608309472453872
LPCAT2,7.58450028976475
MSLN,7.577911534103986
TRAV26-1,7.576982559098752
PYHIN1,7.569686220257276
FTX,7.548141291395836
TSPAN33,7.543084280122393
DAPK1,7.542094663806187
LAYN,7.52669972247706
IGFBP7,7.5242473272553205
P2RY13,7.514113113171472
ACTB,7.51299953002865
ALDH2,7.5013574197458315
PKN2,7.488460680904092
TRAV23DV6,7.484818077317101
SCML1,7.475053134871124
AC096667.1,7.4584173345754605
S100A11,7.451908774988977
NOTCH2,7.442258848530325
TRAV12-3,7.426506821452465
LINC02432,7.422380041382054
MEGF9,7.377024391784741
TRAV13-2,7.365402805252298
SHTN1,7.3615695385714
TRBV27,7.361311698947026
BCL2L1,7.345079813977791
IFNG-AS1,7.319987236007879
IL10,7.300071519648729
FAH,7.281117160227293
PTAFR,7.2770565522272515
SLC24A4,7.2630829539809225
ILK,7.249249914452272
AC243829.1,7.232573487282185
SORT1,7.231714082710041
ZDHHC1,7.217128453488615
TUBB1,7.205222872705333
CREB5,7.20260475795984
PAX8-AS1,7.200073012145573
C3AR1,7.1961186341618095
MYOF,7.189793318259803
ANTXR2,7.180893815339658
GP1BB,7.167177238810295
TRBV6-5,7.154829084673917
NR4A1,7.14520647933548
CYP4F22,7.135504515772634
CD27,7.133029726785284
GLT1D1,7.127688525744453
SIRPB2,7.088941782174164
SH2D1B,7.085334164877689
SESN2,7.08332011644256
WDR86,7.083001990164142
CCL4L2,7.07896467603586
TRAV27,7.06781423491159
CAVIN2,7.048735876638779
BATF,7.0330836451958705
GPR132,7.027625037484622
KLRC1,6.977177804919475
MCTP1,6.9747760981978315
ARHGEF40,6.973935972073196
CCR1,6.967269043636904
SMPDL3A,6.954045296637487
LINC00877,6.946672103648494
FNBP1L,6.9397168992952825
CD163,6.936606943240536
TAX1BP3,6.933258394212095
AC009041.2,6.894626111910551
TRBV18,6.888487469093971
RSAD2,6.8800639444306935
AL450352.1,6.869468453305332
LCNL1,6.86171674282416
TREM1,6.861304196022142
AL158071.3,6.817608340403264
ABCA7,6.8150548421968296
NIBAN2,6.803658762256206
THBS1,6.789893238704922
ANPEP,6.788412841870164
ARHGAP20,6.785875333613042
ALDH1A1,6.776465989913887
AREG,6.773698897378172
SPARC,6.770198468512715
S100Z,6.770091562286199
MGST1,6.768890172750151
CTC1,6.760219942877273
TRAV16,6.757104392654895
TKT,6.748029069156696
CHD3,6.731796757774481
TRBV15,6.728584362231712
ARRDC4,6.720072719361396
TRBV25-1,6.710284611552787
AL157394.3,6.695724350865824
ITGAX,6.693854938720947
TSPOAP1-AS1,6.693803090130413
HIST1H1E,6.664155122660145
FKBP5,6.646355908864414
TRBV6-1,6.621786217329668
TMEM91,6.616792679494926
VPS9D1,6.616544440654149
TRAV5,6.596791844862747
HAVCR2,6.595114272484759
AF165147.1,6.5869785245253505
ABCC3,6.5723114647850425
MX1,6.564697791944454
HPSE,6.548907348114423
LINC02362,6.5195624251617605
FXYD2,6.494744834644613
CHN1,6.489891441762987
ZNF185,6.473131333715939
AP000547.3,6.466733472833636
TRGV5,6.437555135811209
PLCH2,6.429346983488431
C1QA,6.425530573394477
TRDV1,6.423014016523496
AL627171.1,6.401723571288646
PLPPR2,6.392542600453459
APOC2,6.372095518674107
SPRY1,6.364126565811266
HIST1H2AC,6.359364042067134
FAR2,6.350593045171736
DLG3,6.332485580358151
PTPRE,6.329201769602563
SERP2,6.31872563385336
VMO1,6.301588238049086
CUEDC1,6.296111391052375
GADD45G,6.279147235953222
PECAM1,6.277442741065126
ZBTB16,6.276988897599133
AC215522.2,6.261835923506881
MPIG6B,6.261601267878793
IL1B,6.253957078437489
PTGES3L,6.2528566230097296
HSPA6,6.251411676826178
PRKAR2B,6.245727200359985
TRAV1-2,6.22660943872831
LINC01503,6.209092949920427
AC004832.6,6.197048682078167
SLC22A15,6.179001155392208
ASGR2,6.162780520541038
ETV1,6.1524826202678655
FURIN,6.146201863150399
ITGA2B,6.13479390329996
MAML3,6.133810040737609
CES3,6.132968701432753
ITGB5,6.113671612173153
IL1RN,6.095111003161969
NCOA4,6.089590182486253
TRAV25,6.087826023559587
TRAV2,6.086047350564265
CACNB1,6.084095587815745
TRAV22,6.058911564922428
TRBV10-2,6.03758164949051
SNCA,6.02923787070932
PTGS1,6.019530912984331
